title,views,likes,dislikes
Dead Snow,24893.0,24.0,5.0
Deadpool,17717477.5,116924.5,2789.5
Dear John,9824224.0,22534.0,667.0
Dear White People,2171742.0,12466.0,8301.0
Dear Zindagi,6118499.285714285,34689.0,2415.1428571428573
Death at a Funeral,1584896.0,2126.0,339.0
Death of a Superhero,8219925.0,22000.0,1249.0
Decoding Annie Parker,69135.0,53.0,3.0
Deepwater Horizon,9081183.0,18875.0,1462.0
Defendor,609408.0,607.0,40.0
Delhi Belly,183817.0,294.0,31.0
Deliver Us from Evil,2162748.0,2156.3333333333335,676.6666666666666
Delivery Man,303804.0,501.0,61.0
Demolition,1487736.0,4036.0,262.0
Denial,1263086.0,6478.0,5110.0
Despicable Me,5294933.0,6247.0,500.0
Despicable Me 2,4494522.454545454,8653.09090909091,1166.909090909091
Despicable Me 3,29621272.5,98573.5,8701.0
Detention of the Dead,260133.0,410.0,58.0
Detour,52992.0,52.75,6.25
Detroit,3096078.0,9169.5,1515.5
Diana,474695.5,1212.5,84.5
Diary of a Wimpy Kid,959091.0,2364.0,127.0
Dil Dhadakne Do,2197518.0,5975.0,657.0
Dinner for Schmucks,2703043.0,3937.0,259.0
Dirty Girl,11232.0,5.0,0.0
Dirty Grandpa,972530.5,2439.0,189.5
District 9,753099.4,1617.6,74.8
Divergent,13341079.333333334,39706.666666666664,1547.0
Django Unchained,78247.4,248.0,12.8
Dolphin Tale,321334.0,598.5,44.5
Dolphin Tale 2,1116218.5,2417.0,154.0
Don Jon,4900481.0,4371.0,236.0
Draft Day,1878099.0,1106.0,141.0
Drag Me to Hell,180626.75,390.75,30.0
Dragon Blade,915769.0,1910.0,148.0
Dream House,344098.0,356.5,32.0
Dredd,2349486.0,6392.5,646.5
Drive,10542.0,31.0,2.0
Drive Angry,304250.0,336.0,97.0
Due Date,143441.0,140.0,6.0
Duplicity,5535.0,1.0,0.0
EVA,131385.0,81.0,1.0
Easy A,8162826.0,16668.0,519.0
Eat Pray Love,4873965.0,7186.0,459.0
Eddie the Eagle,313072.05555555556,773.6666666666666,24.72222222222222
Eden,314114.0,579.0,92.0
Elle,499283.0,484.5,41.5
Elles,105518.0,70.0,8.0
Elstree 1976,19250.0,209.0,8.0
Elysium,9618469.0,22262.0,1117.0
End of Watch,5102455.0,9545.0,424.0
Endless Love,17516769.0,41308.0,1875.0
English Vinglish,3383349.0,6722.0,644.0
Enter the Void,588206.0,1994.0,61.0
Equals,766489.0,2694.0,193.0
Escape from Planet Earth,2051744.0,2413.0,364.0
Escape from Tomorrow,869103.0,1677.0,217.0
Europa Report,2703438.0,4377.0,312.0
Eva,18495.0,7.0,1.0
Even the Rain,19692.0,25.0,3.0
Everybody Loves Somebody,1004334.0,4742.0,121.0
Everything Must Go,27803.0,52.0,4.0
Ex,520009.0,566.0,132.0
Ex Machina,3468712.0,8317.0,330.0
Extract,23890.5,13.5,2.5
Eye in the Sky,3540264.0,6619.0,1149.0
Fair Game,28481.5,39.0,0.5
Fan,47361574.666666664,153722.0,15475.0
Fantastic Four,7765056.666666667,23595.333333333332,6667.333333333333
Fast Five,1904830.0,2877.5,82.0
Faster,6902169.0,5992.0,331.0
Fences,1842540.0,3667.1666666666665,165.16666666666666
Fifty Shades Darker,16154858.666666666,61415.333333333336,7801.333333333333
Fifty Shades of Black,594863.0,2259.0,195.0
Fifty Shades of Grey,6629527.875,22026.25,1859.25
Filth,22892.0,6.0,1.0
Final Destination 5,882039.0,1492.0,257.0
Finding Fanny,6395030.0,13098.0,2818.0
Fire with Fire,42695.0,35.0,1.0
Fish Tank,21727.0,48.0,4.0
Fist Fight,2666283.0,7315.75,438.75
Flight,298246.0,641.0,24.0
Flipped,6855.5,6.0,0.5
Florence Foster Jenkins,367291.6666666667,589.6666666666666,22.333333333333332
Flying Swords of Dragon Gate,347824.0,134.0,38.0
Focus,2420675.5,3711.0,317.5
Forbidden Kingdom,412199.0,210.0,27.0
Fortress,152966.0,27.0,22.0
Four Lions,1870802.0,3211.0,120.0
Foxcatcher,61415.4,84.0,5.2
Freakonomics,8689.0,7.0,0.0
Free Fire,1300147.5,4219.0,301.0
Free State of Jones,5174714.0,6304.0,534.0
Freeheld,1895621.0,11841.0,476.0
Friend Request,966843.0,2236.0,451.0
Fright Night,4010553.0,6231.0,596.0
From Paris with Love,478679.0,344.0,32.0
From Prada to Nada,19204.0,17.0,1.0
From the Land of the Moon,246601.0,1558.0,237.0
Frozen,363814159.75,729787.5,148374.0
Fun Size,66242.33333333333,133.66666666666666,7.666666666666667
Funny People,117854.0,67.0,2.0
Furry Vengeance,83307.0,234.0,49.0
G-Force,348850.0,169.0,24.0
Gabbar Is Back,6547681.0,24952.0,2203.0
Gangster Squad,150499.16666666666,202.83333333333334,11.833333333333334
Gentlemen Broncos,1281485.0,2914.0,206.0
Get Hard,12351764.0,30325.0,1668.0
Get Him to the Greek,2281538.5,2749.0,250.0
Get Low,58950.0,60.0,3.0
Getaway,2072498.0,5788.0,313.3333333333333
Ghost in the Shell,1168059.6666666667,2571.5555555555557,986.2222222222222
Ghostbusters,15959850.666666666,106080.66666666667,369505.6666666667
Gifted,959100.0,4393.0,106.0
Gimme Shelter,1197448.0,14124.0,234.5
Girl Asleep,43575.0,221.0,36.0
Girl in Progress,12337.0,5.0,0.0
God of War,1513511.0,1168.0,326.0
Gods of Egypt,3451235.0,6470.5,999.5
Godzilla,18373713.666666668,73404.66666666667,2749.0
Going the Distance,70942.0,61.0,5.0
Gold,1220560.5,2535.0,148.0
Golmaal 3,1342154.5,816.0,111.5
Gone Girl,780018.25,957.5,36.25
Goodbye First Love,11608.0,5.0,0.0
Goosebumps,5688122.0,20908.0,1420.6666666666667
Graduation,127304.0,455.0,34.0
Grandmaster,123212.0,177.0,27.0
Gravity,775837.5,1594.5,171.5
Green Lantern,2150791.3333333335,3115.6666666666665,384.3333333333333
Green Room,110830.75,581.5,39.5
Green Zone,1004388.0,918.0,89.0
Grimsby,3323478.0,7593.5,774.5
Grown Ups,30473.0,20.0,1.0
Grown Ups 2,7584354.0,20447.0,1679.0
Grudge Match,4145420.0,9128.0,422.0
Guardians,3936987.0,8978.333333333334,664.6666666666666
Hacksaw Ridge,6281168.0,29915.0,1019.6666666666666
Hall Pass,1680253.0,1692.0,123.0
Hands of Stone,2831979.5,1670.0,106.0
Hanna,422579.5,812.5,36.0
Happy New Year,4412761.0,18483.0,3467.0
Hardcore Henry,13148845.0,34680.0,1385.0
Haywire,649342.0,810.5,111.0
Heaven is for Real,3037494.5,14502.5,1165.5
Heist,1264716.0,2034.0,194.0
Hell Baby,3767767.0,19941.0,1504.0
Hell or High Water,1065145.857142857,1122.2857142857142,47.57142857142857
"Hello, My Name Is Doris",2558889.0,10577.0,370.0
Hercules,163597.5,255.5,17.0
Hereafter,1466655.0,1538.0,108.0
Hidden Figures,3415646.0,4383.5,435.5
Higher Ground,12762.0,5.0,8.0
Hobo with a Shotgun,3880118.0,13411.0,762.0
