title, weekend_rev, weekend_rev_mean
Mouth to Mouth,1406,1406
Multiplicity,5075340,2378
Cold Comfort Farm,66427,11071
Original Gangstas,1157721,2442
Getting Away with Murder,127691,823
Twister,41059405,17008
Barb Wire,1844426,1405
Honeymoon,4131,2066
Ghost in the Shell,2736,2736
Thinner,5679046,2826
Spy Hard,10448420,4570
Brothers in Trouble,1596,1596
Stalingrad,10882,10882
Striptease,12322069,6254
Heavy,14425,14425
Jack,11191496,6544
I Shot Andy Warhol,57053,19017
Trainspotting,262673,32834
Til There Was You,1315445,1746
Independence Day,50228264,17428
Stealing Beauty,103028,34342
Kingpin,5582079,2853
Eraser,24566446,10193
Midnight Dancers,9072,9072
Somebody to Love,10343,1034
Daylight,10015875,4605
Lone Star,232184,11056
Harriet the Spy,6601651,3615
Phenomenon,16158901,9871
American Buffalo,164109,5658
Alaska,2914992,1861
Fled,5405855,2569
Kazaam,5001588,2485
Larger Than Life,3779504,1553
Stonewall,74052,7405
Ransom,34216088,12786
High School High,6311786,2941
Phat Beach,658614,1614
Foxfire,141617,649
Chain Reaction,7545944,3346
Matilda,8208609,4156
Emma,240649,26738
House Arrest,2275808,1402
Eyes Without a Face,19628,6542
Bordello of Blood,2634170,1555
Flirt,15040,15040
Cyclo,38109,6351
Basquiat,83863,13977
Tin Cup,10128834,5034
Small Faces,10972,5486
Bound,900902,3451
Carpool,1628482,1095
Nothing to Lose,11617767,6239
First Kid,8434651,4491
Sweet Nothing,22910,11455
Bogus,1895593,1671
Bulletproof,6014400,2685
Talk of Angels,6876,3438
Twelfth Night,33451,6690
Sabrina,5563259,3055
My Favorite Year,2400696,3362
Spellbound,17508,17508
Father of the Bride,7031146,4504
To Be or Not to Be,1020958,1600
Night of the Living Dead,2884679,1868
Nothing Personal,5563,5563
Dangerous Ground,2647745,3276
Small Wonders,2880,2880
Fly Away Home,4708044,3566
Bliss,54547,4958
Grace of My Heart,173654,3694
Maximum Risk,5612707,2380
Michael Collins,182221,30370
Infinity,78976,1716
Big Night,185749,15479
Last Man Standing,7010333,2737
Set It Off,8812105,8690
2 Days in the Valley,3352440,4359
Curdled,16294,1253
Extreme Measures,6906546,3005
Cool Runnings,7046648,5080
Angels in the Outfield,8916463,4707
Freeway,14945,2490
Die Hard,601851,28659
Unhook the Stars,33258,11086
To Gillian on Her 37th Birthday,77725,15545
Surviving Picasso,87054,29018
Love Is All There Is,32925,1266
Beautiful Thing,33931,16965
Looking for Richard,33843,16921
Trees Lounge,39830,19915
Normal Life,3315,3315
Get on the Bus,2156409,1786
Shadow Conspiracy,1370831,1637
Jude,31850,5308
Everyone Says I Love You,131678,43892
Bitter Sugar,30742,15371
Swingers,74118,9264
Sleepers,12305745,6425
Johns,50789,6348
Shall We Dance,11783467,6649
For the Moment,7917,2639
The Innocents,30896,10299
Madame Butterfly,6027,6027
Dirty Dancing,3900000,4000
Reservoir Dogs,147839,7781
Platoon,241080,40180
Basic Instinct,15129385,9655
Glengarry Glen Ross,2104402,5058
Days of Thunder,15490445,6714
Top Gun,8193052,7969
American Strays,1183,1183
Microcosmos,35189,17594
Drunks,17581,8790
On Golden Pond,89213,44606
Drop Dead Fred,3625648,4260
Private Benjamin,4739769,6212
Dadetown,5450,5450
When We Were Kings,12479,6239
Faust,10030,5015
Raw Deal,5438978,3142
Dear God,3213045,1831
Bad Moon,607081,735
American Dream,9291,4645
Bob Roberts,314275,39284
Cinema Paradiso,16552,16552
Delicatessen,4733,4733
Enchanted April,73041,14608
Hear My Song,12965,12965
Passion Fish,14385,7192
Strictly Ballroom,145977,16219
Paris is Burning,310127,13483
Raiders of the Lost Ark,8305823,7704
Brazil,30099,30099
Aliens,10052042,6995
Apocalypse Now,118558,39519
Wings of Desire,17301,17301
GoodFellas,6368901,5952
Alien,3527881,38767
Army of Darkness,4424535,3190
Full Metal Jacket,2217307,10313
Henry V,64933,21644
Amadeus,505276,20211
Once Upon a Time in America,2412014,2698
Raging Bull,128590,32148
Das Boot,26994,13497
Local Hero,23567,23567
Glory,63661,21220
Manhattan,485734,16749
Dead Poets Society,340456,42557
La Femme Nikita,44047,22023
