title, weekend_rev, weekend_rev_mean
Stephanie Daley,3401,3401
Interview,41016,6836
Good Luck Chuck,13652001,5226
Into the Wild,212440,53110
Feast of Love,1707967,1423
Dan in Real Life,11809445,6147
We Own the Night,10826287,4583
Michael Clayton,719910,47994
Lars and the Real Girl,90418,12916
30 Days of Night,15951902,5587
Rendition,4060012,1804
Things We Lost in the Fire,1561949,1367
Reservation Road,36269,2789
Gone Baby Gone,5501406,3211
Weirdsville,2862,2862
Climates,9665,9665
Beaufort,6808,3404
Civic Duty,54902,980
Irina Palm,3474,3474
Persepolis,88826,12689
Control,27674,27674
Fugitive Pieces,102212,3407
Silk,126537,1037
I Want Someone to Eat Cheese With,12317,12317
Black Sheep,10593609,5180
For the Bible Tells Me So,7412,7412
My Kid Could Paint That,26290,3286
Elite Squad,3604,3604
King of California,35814,7162
Martian Child,3376669,1671
Decoys,84733,1540
American Gangster,43565135,14265
Bee Movie,38021044,9679
No Country for Old Men,1226333,43797
Be Kind Rewind,4050655,5013
Itty Bitty Titty Committee,11505,11505
Crazy Love,17952,5984
August Rush,9421369,4078
Lions for Lambs,6702434,3025
Fred Claus,18515473,5138
Beowulf,27515871,8726
Love in the Time of Cholera,1924860,2259
Southland Tales,123428,1959
I Served the King of England,53218,6652
Smiley Face,5993,5993
12,12042,2408
XXY,3241,3241
Enchanted,34440317,9233
Hitman,1290442,2342
This Christmas,17958183,9665
P2,2083398,977
Om Shanti Om,1764131,15474
Awake,5856872,2925
I Am Legend,77211321,21411
Alvin and the Chipmunks,44307417,12750
Margot at the Wedding,81035,40517
Juno,413869,59124
Maxed Out,20024,3337
My Blueberry Nights,74146,12357
Cake,916179,1901
Noise,3687,1844
Starting Out in the Evening,76214,10887
Redacted,25628,1708
Suicide Killers,10601,10601
Journey from the Fall,83397,20849
Allegro,505,505
Vitus,5722,2861
There Will Be Blood,190739,95370
Ricochet,4831181,3096
Mongolian Ping Pong,3252,1626
Dedication,23832,5958
27 Dresses,23007725,7526
Savages,151859,37964
Nanking,6316,6316
Taare Zameen Par,352568,5036
In Between Days,5065,5065
Flawless,1590155,3326
Cloverfield,40058229,11744
Mad Money,7736452,3132
Trade,118086,1312
Cleaner,4244142,2444
Hatchet,100358,1079
Blonde Ambition,1322,165
Arranged,5560,5560
He Was a Quiet Man,2431,810
Heaven and Earth,379807,6028
One Missed Call,12511473,5585
First Sunday,17714821,8004
Untraceable,11354069,4795
How She Move,3957471,2585
Meet the Spartans,18505530,7104
Strange Wilderness,3001719,2485
Over Her Dead Body,4025115,2036
In Bruges,459575,16413
Bamako,10183,10183
Caramel,71916,6538
Canvas,13100,6550
Teeth,29521,7380
Visiting Hours,5250157,4464
U2 3D,964315,15808
Deep Water,22632,11316
Hunger,1832898,2365
Jumper,27354808,7980
Vantage Point,22874936,7264
Jodhaa Akbar,1300000,13000
Great World of Sound,6129,3064
Witless Protection,2116692,1588
Taxi to the Dark Side,10930,5465
Out of the Blue,728,728
Grace is Gone,13880,3470
Descent,8911330,4253
College Road Trip,13601419,5026
Doomsday,4926565,2544
Funny Games,544833,1905
War Dance,15471,5157
Diary of the Dead,232576,5538
Penelope,3802144,3179
City of Men,130579,1741
Chicago 10,42724,3052
Terkel in Trouble,3648,1824
Jellyfish,25352,6338
Then She Found Me,72594,8066
What Just Happened,192508,5347
Return of the Living Dead 3,14810,1645
Miss Pettigrew Lives for a Day,2490942,4655
Snow Angels,14247,7123
Married Life,55851,6205
Believers,4342732,2830
On the Outs,7765,7765
Quiet City,4860,4860
51 Birch Street,10827,5413
Never Back Down,8603195,3152
CJ7,49770,2619
Drillbit Taylor,10309986,3373
Under the Same Moon,2769655,10412
Tropical Malady,270,270
Slipstream,6273,1045
Joysticks,1431065,4616
Youth Without Youth,28550,4758
Khadak,1983,1983
21,24105943,9103
Smart People,4092465,3700
Leatherheads,12682595,4580
Pirates,1035447,934
Shine a Light,1488081,5391
Dark Matter,8701,4350
Close to Home,5630,2815
Saawariya,542192,6378
Forgetting Sarah Marshall,17725330,6335
Sex and Death 101,13516,2703
Superhero Movie,9510297,3212
Street Kings,12469631,5054
Private Property,15086,7543
Speed Racer,18561337,5147
Gabriel,2124,2124
Diminished Capacity,11832,2958
Chapter 27,13910,13910
Religulous,3409643,6792
Son of Rambow,53789,10758
Black Friday,25000,2500
Outsourced,32227,4028
Deception,2312146,1155
Baby Mama,17407110,6845
Delirious,1803059,1578
Klimt,2332,2332
Iron Man,98618668,24024
Made of Honor,14756850,5407
Redbelt,63361,10560
Mister Lonely,16769,16769
Anamorph,3120,3120
Taken,24717037,7765
Flight of the Red Balloon,35222,17611
Blind Dating,61877,836
Meet Bill,35201,977
What Happens in Vegas,20172474,6274
Bella,1328448,8051
Reprise,49060,16353
Shelter,3464,3464
King Corn,6753,6753
How to Rob a Bank,109,109
Blonde and Blonder,26470,1891
Lake of Fire,2559,2559
Shutter,10447559,3794
Sex and the City,57038404,17363
Savage Grace,22311,11156
Kung Fu Panda,60239130,14642
Lonelyhearts,80423,3496
My Brother Is an Only Child,9357,9357
Stuck,8844,4422
Warlock,780360,4510
Il Posto,2581,2581
Boy A,13024,6512
Hounddog,13744,1249
Baghead,8640,4320
Wanted,50927085,16040
Hancock,62603879,15789
Boy Culture,27835,9278
Turn the River,2722,2722
Get Smart,38683480,9891
Young People Fucking,3220,3220
Brick Lane,47124,6732
Surfwise,10304,10304
Equinox,6310,6310
Finding Amanda,31340,2411
Up the Yangtze,15851,15851
Sleepwalking,47762,1592
Encounters at the End of the World,17730,17730
Mauvais Sang,8482,8482
Standard Operating Procedure,14108,7054
Battle For Haditha,1982,1982
Alexandra,9401,9401
Kabluey,7373,7373
Honeydripper,9863,2466
Rogue,7711,771
Towelhead,52823,13206
Katyn,11053,11053
Journey to the Center of the Earth,21018141,7477
Meet Dave,5251918,1744
August,11988,2997
Death Defying Acts,3561,1781
Water Lilies,7418,3709
Shrooms,1849,462
Just Another Love Story,3470,3470
Heartbeat Detector,5309,2654
Flakes,311,311
Moving McAllister,28665,333
Music Within,52744,3102
Transsiberian,34615,17308
Space Chimps,7181374,2860
Jimmy Carter Man from Plains,10413,1487
Watchmen,55214334,15291
Steal a Pencil for Me,11179,5589
Shotgun Stories,4553,4553
Step Brothers,30940732,10000
Brideshead Revisited,339616,10291
American Teen,45589,9118
Man on Wire,51392,25696
Lost in Beijing,4337,4337
Pathology,54244,1179
Blindsight,5279,5279
Heart of a Dog,13893,13893
Bonneville,174571,1728
Swing Vote,6230669,2815
Frozen River,70234,10033
Sixty Six,9359,4680
Bottle Shock,278075,5793
Vicky Cristina Barcelona,3755575,5427
Year of the Gun,606046,820
Pineapple Express,23245025,7567
Red Cliff,13104,6552
Silent Light,11967,11967
Expired,6596,6596
Hell Ride,100164,1222
Elegy,104168,17361
Still Life,12744,12744
Quid Pro Quo,7395,1849
Tropic Thunder,25812796,7777
Henry Poole Is Here,805219,1528
Mutant Chronicles,4724,2362
Waltz with Bashir,50021,10004
Let the Right One In,49295,12324
Hamlet 2,439925,4271
Death Race,12621090,4985
Mirrors,11161074,4190
Trumbo,28125,9375
Sukiyaki Western Django,9856,9856
American Zombie,3126,3126
Noise,3687,1844
Feed,11448,11448
Burn After Reading,19128001,7215
Disaster Movie,5836973,2209
Traitor,7868465,3831
College,2153109,1014
Trouble the Water,28606,9535
Bangkok Dangerous,7783266,2937
Everybody Wants to Be Italian,197861,2019
A Secret,37135,12378
August Evening,3296,3296
Flash Point,1916222,1874
Sunflower,4195,4195
Dark Blue Almost Black,1897,1897
Thieves,136993,12454
Righteous Kill,16288361,5168
Lakeview Terrace,15004672,6090
Ghost Town,5012315,3330
Accused,4316369,5422
Private Parts,14616333,6836
Humboldt County,25933,2881
Appaloosa,248847,17775
1984,29897,29897
Eagle Eye,29150721,8305
Nights in Rodanthe,13418454,4962
Gomorrah,5532,5532
Rachel Getting Married,293369,32597
Body of Lies,12884416,4754
City of Ember,3129473,1548
Max Payne,17639849,5225
Zack and Miri Make a Porno,10065630,3680
Flash of Genius,2251075,2050
The Wave,60321,1828
Quarantine,14211321,5775
Pride and Glory,6262396,2423
RockNRolla,144701,20672
Into the West,1410414,2564
Admiral,51431,51431
Blindness,1432,1432
Slumdog Millionaire,360018,36002
Filth and Wisdom,4597,4597
Role Models,19167085,6865
JCVD,20119,10060
Happily Ever After,1756050,1725
Christmas Story,2072473,2339
Restaurant,11750,489
Sex Drive,3607164,1490
Soul Men,5401605,2643
Beverly Hills Chihuahua,29300465,9114
Half Moon,1126,563
Fanny,1872,1872
Three Monkeys,3045,3045
Splinter,10497,3499
Australia,14800723,5602
Bolt,26223128,7182
Milk,1453844,40385
Twilight,5866411,4342
Transporter 3,12063452,4594
Four Christmases,31069826,9387
Surveillance,4590,2295
Fireproof,6836036,8148
Igor,7803347,3336
Hunger,1832898,2365
Cadillac Records,3445559,5015
Flashbacks of a Fool,1020,510
The Lovers,66286,16572
Body of War,3321,3321
Nothing Like the Holidays,3531664,2114
Doubt,507226,33815
Gran Torino,271720,45287
Rab Ne Bana Di Jodi,920995,11096
Delgo,511920,237
Seven Pounds,14851136,5385
Yes Man,18262471,5318
Hexed,1351510,1407
On the Rumba River,1156,1156
Valkyrie,21027007,7756
Impulse,995570,2647
Ben X,904,904
Bedtime Stories,27450296,7457
Choke,1319286,3033
Revolutionary Road,189911,63304
Loft,2747342,1492
Nobel Son,333912,374
Defiance,123513,61757
Blackout,1749,175
Ponyo,3585852,3868
Wendy and Lucy,18218,9109
Last Chance Harvey,97260,16210
Passengers,172544,1380
Bride Wars,21058173,6528
Castaway,28883406,10412
Battle in Seattle,46903,5863
Fuel,12386,3097
Timecrimes,4351,2176
Inkheart,7601379,2863
Save Me,6992,6992
Donkey Punch,4744,2372
Blue,6413,6413
Outlander,59581,736
Branded,240589,784
Black Widow,3426831,4662
Eden Lake,5824,582
Coraline,16849640,7329
Chocolate,38000,1900
Blackout,1749,175
TerrorVision,320256,1251
Two Lovers,94986,13569
Hotel for Dogs,17012212,5201
Fireflies in the Garden,36884,7377
Departures,74945,8327
My Name Is Bruce,16432,16432
Ping Pong Playa,30797,3422
Funny People,22657780,7535
Mystery Team,7840,7840
Tough Enough,725117,1347
Madea Goes to Jail,41030947,20192
Away We Go,130411,32603
Il Divo,13867,6934
Adrift in Manhattan,2099,2099
Everlasting Moments,40443,8089
Shadow Man,4113,4113
Playing for Keeps,1406300,1225
Rock-A-Doodle,2603286,2037
Fanny,1872,1872
Frontrunners,6888,6888
Day of the Dead,1700000,10119
Live Free or Die,8875,1775
Duplicity,13965110,5425
Knowing,24604751,7384
Praying With Lior,8401,8401
Ong Bak 2,26564,2656
Sunshine Cleaning,219190,54798
Echelon Conspiracy,500154,1250
Monsters vs Aliens,59321095,14454
Boarding Gate,11440,11440
Chaos,20570,6857
Blue Steel,2895744,2215
We Live in Public,7325,7325
Nothing But the Truth,11431,762
The Square,74233,18558
Observe and Report,11017334,4040
Adventureland,5722039,3073
Confessions of a Shopaholic,15066360,6010
Revanche,16330,5443
Flash Gordon,3934030,4780
Gardens of the Night,3072,3072
In the Loop,191866,23983
Crime Wave,3571,510
17 Again,23722310,7288
Double Trouble,17978,1498
Inglourious Basterds,38054676,12024
State of Play,14071280,5020
Strike,307763,2314
Break Up,39172785,12759
Mammoth,4531,4531
Moving Midway,6539,3270
American Swing,10174,10174
Sin Nombre,81446,13574
Star Trek,11926421,13916
Lymelife,27758,6940
Cherry Blossoms,3322,3322
Love Sick,3093281,4308
Earth,42449,5306
Shuttle,1925,1925
Crossing Over,77370,8597
Fanboys,171533,3898
Breaking the Rules,23175,309
Incendiary,7308,7308
Love Songs,20488,10244
Management,375916,1773
Terminator Salvation,42558390,12056
How to Cook Your Life,8741,2185
Were The World Mine,864,864
Every Little Step,68504,8563
Vincere,18096,9048
Chop Shop,8475,8475
Drag Me to Hell,15825480,6310
Up,68108790,18085
Easy Virtue,110443,11044
Dance Flick,10643536,4344
Summer Hours,49484,24742
Trojan War,217,217
Graduation,10305,5153
Killshot,10741,2148
Antichrist,71397,11900
Don,804388,7118
Sweeney Todd,9300805,7446
Billu,512124,7316
Show,1482892,4413
Ernest Rides Again,905010,760
Before The Rains,48159,6020
Special,3232,3232
New in Town,6741530,3473
Dead Snow,5363,5363
Land of the Lost,18837350,5350
Imagine That,5503519,1830
Fade to Black,449331,2643
Chain Reaction,7545944,3346
American Violet,243162,3986
Big Man Japan,7133,3567
Wrestling Ernest Hemingway,14871,3717
Year One,19610304,6489
Tyson,85046,7731
Breakfast with Scot,11455,2291
Heavy Metal in Baghdad,2012,1006
K2,930655,2659
Tulpan,8620,8620
Whatever Works,266162,29574
Ghosts of Girlfriends Past,15411434,4854
Holly,32406,32406
Public Enemies,25271675,7580
Night Of The Living Dead 3D,215300,1484
Kambakkht Ishq,768542,7685
Hood of Horror,25900,221
Madame Bovary,236113,4540
Good Dick,5036,5036
Eichmann,573,573
Winter of Frozen Dreams,3606,3606
Humpday,28737,14369
Tokyo Sonata,28345,14173
Kill Your Darlings,53452,13363
Blue City,2748096,2617
Cheri,405701,5338
One Week,77575,4309
High Hopes,27964,27964
House,5923972,4113
Dallas 362,2831,2831
Aliens in the Attic,8008423,2578
District 9,37354308,12251
Obsessed,28612730,11381
Race to Witch Mountain,24402214,7657
Cold Souls,63302,9043
Daddy Nostalgia,14252,14252
12 Rounds,5329240,2286
Deal,35281,705
Adam,68377,17094
Alien Trespass,43437,1086
Gigantic,10294,10294
Miss March,2409156,1383
Bandslam,2231273,1052
Meet the Browns,20082809,10011
No Regret,4181,2091
Paper Heart,219494,5776
G-Force,31706934,8576
Fighting,11024370,4775
Tetro,30504,15252
Adoration,39358,3936
Bronson,10940,10940
Feel The Noise,3187153,3140
Summer School,6012274,4401
Northern Lights,2256,2256
It Might Get Loud,92679,13240
Post Grad,2651996,1354
Goodbye Solo,38042,12681
Voices,21040,10520
My Life in Ruins,3223161,2769
London,12667,1809
Paris 36,44690,6384
Taking Woodstock,3457760,2482
Meteor,2250000,3913
Videocracy,8324,8324
9,10740446,6466
Pandorum,4424126,1765
Memories of Underdevelopment,8244,8244
Amreeka,58823,14706
Extract,4340108,2694
Cloudy with a Chance of Meatballs,30304648,9716
I Can Do Bad All By Myself,23446785,10398
Beeswax,5844,5844
Thirst,55889,13972
Battle for Terra,1082064,934
Bright Star,189703,9984
Split Second,2250000,2073
I Want You,1242,1242
Paranormal Activity,77873,6489
Lake City,9355,9355
Not Quite Hollywood,4694,2347
Angel,2214824,6711
Ballast,8572,8572
Still Walking,20298,10149
Wanted,50927085,16040
City Island,32001,16001
Whip It,4650812,2702
Unmistaken Child,6293,6293
Surrogates,14902692,5050
Next Day Air,4111043,3613
Zombieland,24733155,8147
Fame,118160,39386
How to Be a Serial Killer,899,899
Sorority Row,5059802,1899
Whiteout,4915104,1791
An Education,159017,39754
Coco Before Chanel,406768,9460
Couples Retreat,34286740,11429
All About Steve,11241214,4994
Deadgirl,6613,3306
I Sell The Dead,3529,3529
Where the Wild Things Are,32695407,8754
Reckless,2446016,2726
Shorts,6410339,2065
Law Abiding Citizen,21039502,7280
Rich in Love,140434,5851
Amelia,3904047,4761
See You in the Morning,1832536,2466
Spread,122948,1194
Cairo Time,66245,13249
Mother,137701,22950
Up in the Air,1181450,78763
Forever,5202,5202
35 Shots of Rum,9576,9576
Vital Signs,372253,1353
Good Hair,1039220,5587
Black Dynamite,131862,1884
Big Fan,24266,12133
Astro Boy,6702923,2224
Gentlemen Broncos,11502,5751
Creation,53073,7582
Top Dog,2164381,1132
Not Easily Broken,5314278,7340
Price of Glory,1611833,2009
Outskirts,607,607
Last Stop for Paul,7604,3802
2012,65237614,19165
Broken Embraces,107111,53556
Derailed,12211986,4998
Lemon Tree,14602,7301
Ninja Assassin,13316158,5320
Wattstax,16000,1333
Oxford Blues,2486418,2312
Brothers,10302846,7476
Sleep Dealer,35050,1947
Happiness,130303,21717
Asylum,36272,7254
Shrink,16443,8222
Old Dogs,16894511,4933
Planet 51,12286129,4048
Me and Orson Welles,63638,15910
Trucker,9458,946
Armored,6511128,3400
Transylmania,263941,262
Invaders from Mars,2046576,1688
Link,660874,1519
Tango,78315,15663
Cheeni Kum,346245,6789
Alice,36274,12091
Avatar,77025481,22313
Nine,257232,64308
Sherlock Holmes,62304277,17183
Crazy Heart,82664,20666
The Last Station,73723,24574
Uncertainty,13075,13075
Guru,613485,9895
Film Geek,5415,5415
Beyond a Reasonable Doubt,17177,3435
Looking for Eric,6743,3372
Carriers,76857,769
Aaja Nachle,257500,3901
Rocker,2636048,947
Pontypool,1541,1541
Youth in Revolt,6888334,3678
Daybreakers,15146692,6003
Leap Year,9202815,3665
Mister Johnson,11051,11051
A Prophet,163773,18197
Dead Time,30240,1680
Collapse,7800,7800
Last Resort,37283,2663
My One and Only,58692,14673
Hidden Agenda,49827,16609
Bart Got a Room,32763,2978
Jerichow,8042,2681
Soul Kitchen,20916,10458
Quiet Chaos,3190,3190
Heat,8445656,6374
Altiplano,1269,1269
Year of the Comet,1350939,1349
The Long Day Closes,1407,1407
Fighter,1294,1294
Hannah Takes the Stairs,5901,5901
Nowhere Boy,52749,13187
3 Idiots,1645502,13828
Hum Tum,275882,6415
Defenseless,1590439,2388
Beautiful,1409433,2181
Four Eyed Monsters,1886,1886
More Than a Game,182943,13067
When in Rome,12350041,5029
Edge of Darkness,17214384,5615
Ethan Mao,3356,3356
Mad Detective,2682,2682
Rampage,322500,1875
I Love You Phillip Morris,112520,18753
Electric Shadows,784,784
Mistress,34146,17073
The Sun,11588,11588
Me and Him,4795,959
Serious Moonlight,11636,1455
Fish Tank,25854,12927
Absurdistan,1441,1441
Shutter Island,41062440,13729
Bitch Slap,12254,4085
Ondine,27497,5499
Persuasion,30986,30986
The Ghost Writer,183009,45752
I Hope They Serve Beer in Hell,366909,3058
Blood Done Sign My Name,82739,871
Agora,33262,16631
Singh Is Kinng,1154528,10308
Motherhood,50081,1043
Dear John,30468614,10262
Last Train Home,20418,20418
Tooth Fairy,14010409,4190
Of Time and the City,5595,5595
My Name Is Khan,1944027,16200
A Town Called Panic,2850,2850
Green Zone,14309295,4765
44 Inch Chest,4185,4185
Ajami,35792,11931
From Paris with Love,8158860,2997
Greenberg,118152,39384
Harry Brown,173353,9124
Never Forever,6529,3264
Remember Me,8089139,3657
Posse,5311902,5597
Frozen,131395,1240
Survival of the Dead,43757,2188
Little Ashes,73394,6116
Our Family Wedding,7629862,4754
Leaves of Grass,20987,6996
Women in Trouble,12784,4261
Afghan Star,3671,3671
Possession,1575214,5834
North Face,23050,5763
Case 39,5350570,2420
Guest of Cindy Sherman,7685,7685
Oceans,6058958,5024
Hot Tub Time Machine,14020502,5091
Chloe,900688,2573
Blackwoods,1500,300
Trash,10230,602
Mother,137701,22950
How to Train Your Dragon,43732319,10785
About Elly,13180,13180
Main Street,1553,1553
Micmacs,42751,10688
Defendor,13265,4422
Chalte Chalte,150000,6818
Five Minutes of Heaven,5364,5364
Date Night,25207599,7471
Sex Positive,3408,3408
Downloading Nancy,10324,2065
Don McKay,8919,1274
Angel,2214824,6711
The Runaways,805115,3300
Razorback,89331,1786
Until the Light Takes Us,7246,7246
Waking Sleeping Beauty,33115,6623
The Case for Christ,3967885,3380
Death at a Funeral,1282973,4934
Valhalla Rising,7905,7905
Sahara,18068372,5728
Diary of a Wimpy Kid,22126166,7191
I Am Love,121504,15188
Disgrace,12615,4205
Aria,7580,7580
Dogtooth,6686,3343
City of Life and Death,5610,5610
Chained Heat,2252682,5575
Cyrus,181716,45429
Exit Through the Gift Shop,170756,21345
Iron Man 2,128122480,29252
Lebanon,17145,8573
Marmaduke,11599661,3610
MacGruber,4043495,1585
Three,58196,2530
Three Men and a Cradle,25380,25380
Games of Love and Chance,2529,2529
Voyager,19807,19807
The Good Heart,5955,1191
Four Lions,41512,5189
Furry Vengeance,6627564,2211
Armadillo,3958,3958
Little Fugitive,9040,9040
Gold,3471316,1603
Father and Son,4541,4541
Times and Winds,1338,1338
Blue Valentine,193728,48432
Buried,100268,9115
Shake Hands With the Devil,1848,1848
Please Give,118123,23625
Sex and the City 2,31001870,8999
Brief Interviews with Hideous Men,18510,18510
Get Him to the Greek,17570955,6515
Detour,145,29
Romeo and Juliet,11133231,8725
Splice,7385277,3014
May Fools,20078,20078
No One Knows About Persian Cats,8843,4422
Letters to Juliet,13540486,4562
Humble Pie,1083,542
Wonderful World,4582,1146
Chance Pe Dance,117917,1734
No Greater Love,21520,978
Jonah Hex,5379365,1904
Toy Story 3,110307189,27385
Everyone Else,10810,10810
Rampage,322500,1875
Mercy Streets,79607,460
Chelsea on the Rocks,4286,4286
Best Worst Movie,5503,5503
Beetle Queen Conquers Tokyo,6498,6498
Solitary Man,94936,23734
Bluebeard,8370,8370
Enter the Void,43651,14550
Tennessee,9438,629
Yella,7767,3884
Distant Thunder,82186,2651
Predators,24760882,9277
Despicable Me,56397125,16225
Inception,62785337,16557
Grown Ups,40506562,11462
Thirst,55889,13972
Perestroika,3532,3532
Le Pont du Nord,5333,5333
Sinbad,6874477,2227
Winnebago Man,16469,8235
Sunflower,4195,4195
Dinner for Schmucks,23527839,8082
North,3036050,2050
Here and There,6352,6352
Ip Man 2,61057,3053
Lucky,147800,3359
Dreamboat,2199,2199
Paper Man,8613,2871
Animal Kingdom,61968,8853
The Exploding Girl,5910,5910
Prodigal Sons,6102,6102
Raajneeti,850244,6857
Centurion,42826,3569
Life During Wartime,30507,30507
Babies,2160460,4046
Heartless,2033,2033
Smash His Camera,2367,2367
Chicago,2074929,26947
Underworld,21753759,7462
Piranha 3D,10106872,4092
Get Low,88182,22046
Accident,5798,5798
Tony Manero,3305,3305
Terribly Happy,11650,11650
Children of Invention,4874,2437
Wild Grass,39162,7832
King Lear,8756,8756
Kisses,15485,7743
Gasland,2641,2641
Visual Acoustics,3517,3517
Machete,11416164,4276
Step Up 3D,15812311,6494
Off and Running,7978,7978
Going the Distance,333126,2177
Above and Beyond,6448,6448
Abandoned,782000,782
Offside,18003,3600
Long Weekend,1286,428
Easy A,17734040,6209
Eat Pray Love,23104523,7497
Howl,51185,8531
Senseless,5337651,2896
Flipped,224233,4983
Hubble 3D,413477,10602
Tumbledown,7331,3666
Amigo,37324,3732
Killing Kasztner,5513,5513
Middle Men,325641,1292
Ricky,1626,1626
Saint John of Las Vegas,21666,10833
Tamara Drewe,18604,4651
Every Day,9857,3286
Secretariat,12694770,4132
Looking for Cheyenne,165,165
You Again,8407513,3300
Life As We Know It,14506464,4605
Catfish,257285,21440
Stone,75766,12628
Hunger,1832898,2365
Inside Job,39649,19825
Dirty Girl,17859,1984
Bran Nue Dae,23527,1470
Never Let Me Go,111734,27934
To the Limit,1483,742
Hush,5742431,2921
Worlds Apart,16353,16353
Party Girl,57237,8176
Toe to Toe,5205,5205
Kaboom,13714,13714
Luck By Chance,217439,3815
Tales From the Script,1938,1938
Budrus,7819,7819
Rubber,16346,3269
Shelter,3464,3464
In My Sleep,9285,9285
Jackass 3D,50353641,16343
Restrepo,35581,17791
No Mercy,2198069,1822
In a Better World,33058,8265
My Soul to Take,6842220,2660
South of the Border,21545,21545
Eyes Wide Open,6818,6818
Big Game,16909,1537
Deadline,86681,1884
Vivere,2119,1060
Of Gods and Men,308895,9360
Le amiche,10092,10092
Paranormal Activity 2,40678424,12649
Heartbeats,7197,7197
Hereafter,220322,36720
Black Death,6692,3346
Due Date,32689406,9743
127 Hours,264851,66213
Black Swan,1443809,80212
Jack Goes Boating,28916,7229
Fair Game,4946332,2537
Deep End,141852,23642
How I Ended This Summer,4968,4968
The House,8724795,2784
Unstoppable,22688457,7075
Certified Copy,77937,15587
Wild Target,23174,5794
Carlos,20006,10003
Biutiful,457206,7749
The Art of the Steal,39019,13006
Three,58196,2530
Islander,8871,2957
Crazy on the Outside,64438,859
Mendy,2787,1393
Casino Jack,28234,3137
Let It Rain,16290,8145
London River,1044,1044
London Boulevard,3431,3431
Skyline,11692415,4060
Karthik Calling Karthik,179643,2566
October Country,7026,7026
Not Forgotten,18468,4617
Beastly,9851102,5047
Tiny Furniture,21235,21235
Days and Clouds,16707,8354
Father of My Children,10414,10414
Honey,12856040,6620
All Good Things,37172,18586
Night Catches Us,13562,3391
Stray Dogs,2998,2998
Pray the Devil Back to Hell,8227,8227
Frozen,131395,1240
Days of Glory,10996,5498
Another Year,111869,18645
Billy the Kid,7923,7923
Mother and Child,43040,10760
Adventures of Power,4254,2127
Titanic Town,34785,2174
Under the Sun of Satan,6987,6987
I Saw the Devil,13567,6784
Black Sheep,10593609,5180
Faster,13995,13995
Rabbit Hole,53778,10756
Nights and Weekends,2902,2902
One Week,77575,4309
Sweetgrass,9870,9870
Baghban,345041,6900
Thirst,55889,13972
Klown,19683,6561
Neighbors,6481386,4672
Mujhse Shaadi Karogi,379812,8081
White Material,34613,11538
Burlesque,11947744,3934
Violet Tendencies,5264,5264
Tucker and Dale vs Evil,52843,1761
Yogi Bear,16411322,4669
Countdown to Zero,41307,13769
Breathless,4384369,3776
Trouble in Mind,16029,16029
White Wedding,5860,1465
Band Baaja Baaraat,43820,1369
Made in Dagenham,37563,12521
Waste Land,9806,9806
Last Night,24057,859
Main Prem Ki Diwani Hoon,672891,11214
Handsome Harry,13500,3375
Ghajini,766859,9239
Toys in the Attic,19913,738
Ong Bak 3,5648,1883
Season of the Witch,10612375,3769
Hamsun,7529,7529
Stella,4311656,4173
Spring Fever,854,854
Cracks,9467,1578
A Film Unfinished,34060,8515
Marwencol,3276,3276
Edge,7733445,3290
Gravity,55785112,15604
Cool It,26847,655
Eight Miles High,1496,1496
Treeless Mountain,5014,5014
Kisses,15485,7743
Poetry,18900,6300
Monte Carlo,7453944,3014
I Spit on Your Grave,32440,2703
Mademoiselle Chambon,19446,9723
Even the Rain,53730,6716
Welcome to the Rileys,42145,4215
Chain Letter,138788,342
Trial,14854,14854
What Women Want,33614543,11160
Boogie Woogie,1776,1776
Hadewijch,1892,1892
Raja,6000,6000
For Colored Girls,19497324,9167
From Prada to Nada,1115638,4358
Offspring,154991,2818
Country Strong,30452,15226
Unknown,3746,1873
Sanctum,9447930,3390
Cedar Rapids,302968,20198
Army of Crime,8102,2701
Vanishing on 7th Street,2898,2898
Paul,13043310,4655
Bellamy,20635,10318
Milk,1453844,40385
Harakiri,10920,5460
Emma,240649,26738
Desert Flower,7657,2552
Drive Angry,5187625,2265
Rango,38079323,9722
Tycoon,13342,6671
Edge of Darkness,17214384,5615
Happythankyoumoreplease,35063,17532
Cropsey,6306,6306
Hall Pass,13535374,4588
I Am Number Four,19449893,6167
Blackout,1749,175
Summer Wars,1412,1412
Public Speaking,6260,6260
Norwegian Wood,13000,4333
Janky Promoters,5702,259
Mars Needs Moms,6914488,2218
Crude,16595,16595
Holy Rollers,39685,13228
Medicine for Melancholy,12625,12625
Cthulhu,1438,1438
Emma,240649,26738
Mannequin,6001208,6439
Cave of Forgotten Dreams,139101,27820
Red Riding Hood,14005335,4622
Super,3656390,2317
Troll Hunter,5585,5585
Source Code,14812094,5002
Jane Eyre,269929,7712
Sucker Punch,19058199,6284
Putty Hill,4868,4868
That Evening Sun,7330,7330
Chalet Girl,192,192
Eden,18987,6329
Connected,13301,4434
Breathing Room,7750,7750
Reconstruction,13629,6814
Formosa Betrayed,77326,5155
Senna,73497,36749
Insidious,13271464,5511
Hobo with a Shotgun,12046,6023
Win Win,150362,30072
Happy Here and Now,1867,933
River of Grass,2942,2942
24 City,6082,6082
Leap Year,9202815,3665
13 Assassins,45854,11464
Captive,407804,3089
Harry And Max,3938,3938
Hanna,12370549,4880
Dark City,5576953,3180
Easy Money,5844974,5172
Into Eternity,3530,3530
Arthur,2719534,3879
Scream 4,18692090,5656
Rio,39225962,10252
