,title,genre,url,revenue_to_data
96,Watchmen,Action,https://www.the-numbers.com/movie/Watchmen#tab=summary,338379101.0
97,Yaavarum Nalam,Horror,https://www.the-numbers.com/movie/Yaavarum-Nalam-(India)-(2009)#tab=summary,36594.0
98,The Cake Eaters,,https://www.the-numbers.com/movie/Cake-Eaters-The#tab=summary,35817.0
99,Bronson,Drama,https://www.the-numbers.com/movie/Bronson#tab=summary,2703762.0
100,Brothers at War,Documentary,https://www.the-numbers.com/movie/Brothers-at-War#tab=summary,153148.0
101,Carmen and Geoffrey,,https://www.the-numbers.com/movie/Carmen-and-Geoffrey#tab=summary,14130.0
102,"DÃ©dÃ©, Ã  travers les brumes",Drama,https://www.the-numbers.com/movie/Dede-a-travers-les-brumes#tab=summary,1548858.0
103,The Edge of Love,Drama,https://www.the-numbers.com/movie/Edge-of-Love-The#tab=summary,3238922.0
104,Hope & Redemption: The Lena Baker Story,Drama,https://www.the-numbers.com/movie/Hope-and-Redemption-The-Lena-Baker-Story#tab=summary,18215.0
105,The Last House on the Left,Horror,https://www.the-numbers.com/movie/Last-House-on-the-Left-The-(2009)#tab=summary,70340277.0
106,Miss March,Comedy,https://www.the-numbers.com/movie/Miss-March#tab=summary,13312097.0
107,The Perfect Sleep,Thriller/Suspense,https://www.the-numbers.com/movie/Perfect-Sleep-The#tab=summary,6224.0
108,Race to Witch Mountain,Adventure,https://www.the-numbers.com/movie/Race-to-Witch-Mountain#tab=summary,147058886.0
109,Severed Ways: The Norse Discovery of …,Adventure,https://www.the-numbers.com/movie/Severed-Ways-The-Norse-Discovery-of-America#tab=summary,18728.0
110,Sunshine Cleaning,Comedy,https://www.the-numbers.com/movie/Sunshine-Cleaning#tab=summary,24557723.0
111,Throw Down Your Heart,Documentary,https://www.the-numbers.com/movie/Throw-Down-Your-Heart#tab=summary,115778.0
112,Tokyo Sonata,Drama,https://www.the-numbers.com/movie/Tokyo-Sonata#tab=summary,281473.0
113,Waiting for Dublin,Romantic Comedy,https://www.the-numbers.com/movie/Waiting-for-Dublin#tab=summary,5925.0
114,Valentino: The Last Emperor,Documentary,https://www.the-numbers.com/movie/Valentino-The-Last-Emperor#tab=summary,2204738.0
115,Duplicity,Thriller/Suspense,https://www.the-numbers.com/movie/Duplicity#tab=summary,94065556.0
116,GÃ¶lge,Drama,https://www.the-numbers.com/movie/Golge-(Turkey)-(2009)#tab=summary,5592.0
117,The Great Buck Howard,Drama,https://www.the-numbers.com/movie/Great-Buck-Howard-The#tab=summary,900689.0
118,"I Love You, Man",Comedy,https://www.the-numbers.com/movie/I-Love-You-Man#tab=summary,124536322.0
119,Knowing,Thriller/Suspense,https://www.the-numbers.com/movie/Knowing#tab=summary,214022710.0
120,Mancora,Drama,https://www.the-numbers.com/movie/Mancora#tab=summary,29697.0
121,The New Twenty,,https://www.the-numbers.com/movie/New-Twenty-The#tab=summary,17625.0
122,Perestroika,,https://www.the-numbers.com/movie/Perestroika#tab=summary,26064.0
123,Sin Nombre,Thriller/Suspense,https://www.the-numbers.com/movie/Sin-Nombre#tab=summary,7036422.0
124,Skills Like This,Comedy,https://www.the-numbers.com/movie/Skills-Like-These#tab=summary,62408.0
125,Super Capers,Adventure,https://www.the-numbers.com/movie/Super-Capers#tab=summary,30955.0
126,12 Rounds,Action,https://www.the-numbers.com/movie/12-Rounds#tab=summary,26780265.0
127,America Betrayed,Documentary,https://www.the-numbers.com/movie/America-Betrayed#tab=summary,2450.0
128,American Swing,Documentary,https://www.the-numbers.com/movie/American-Swing#tab=summary,30156.0
129,Un baiser s'il vous plaÃ®t,Romantic Comedy,https://www.the-numbers.com/movie/baiser-sil-vous-plait-Un#tab=summary,2735499.0
130,The Cross: The Arthur Blessitt Story,Documentary,https://www.the-numbers.com/movie/Cross-The-Arthur-Blessitt-Story-The#tab=summary,741557.0
131,Goodbye Solo,Drama,https://www.the-numbers.com/movie/Goodbye-Solo#tab=summary,1165529.0
132,Grande ourse - La cle des possibles,,https://www.the-numbers.com/movie/Grande-ourse-La-cle-des-possibles#tab=summary,268143.0
133,Guest of Cindy Sherman,Documentary,https://www.the-numbers.com/movie/Guest-of-Cindy-Sherman#tab=summary,27052.0
134,The Haunting in Connecticut,Horror,https://www.the-numbers.com/movie/Haunting-in-Connecticut-The#tab=summary,103323389.0
135,The Merry Gentleman,Drama,https://www.the-numbers.com/movie/Merry-Gentleman-The#tab=summary,347977.0
136,Monsters vs. Aliens,Adventure,https://www.the-numbers.com/movie/Monsters-vs-Aliens#tab=summary,493478490.0
137,Spinning into Butter,,https://www.the-numbers.com/movie/Spinning-into-Butter#tab=summary,8064.0
138,Three Monkeys,,https://www.the-numbers.com/movie/Three-Monkeys#tab=summary,41343.0
139,Venkovsky ucitel,Drama,https://www.the-numbers.com/movie/Venkovsky-ucitel#tab=summary,50072.0
140,AibÃ´ shirÃ®zu Kanshiki Yonezawa Mamo…,,https://www.the-numbers.com/movie/Aibo-shirizu-Kanshiki-Yonezawa-Mamoru-no-jikenbo#tab=summary,4089965.0
141,Tulpan,Comedy,https://www.the-numbers.com/movie/Tulpan#tab=summary,158741.0
142,Geurimja Salin,Thriller/Suspense,https://www.the-numbers.com/movie/Geurimja-Salin#tab=summary,2904792.0
143,Adventureland,Black Comedy,https://www.the-numbers.com/movie/Adventureland#tab=summary,30481856.0
144,Alien Trespass,Comedy,https://www.the-numbers.com/movie/Alien-Trespass#tab=summary,104526.0
145,Avaze gonjeshk ha,Drama,https://www.the-numbers.com/movie/Avaze-gonjeshk-ha-(Iran)#tab=summary,116372.0
146,Bart Got a Room,Comedy,https://www.the-numbers.com/movie/Bart-Got-a-Room#tab=summary,53760.0
147,C Me Dance,Drama,https://www.the-numbers.com/movie/C-Me-Dance#tab=summary,0.0
148,The Escapist,Thriller/Suspense,https://www.the-numbers.com/movie/Escapist-The#tab=summary,463671.0
149,Fast & Furious,Action,https://www.the-numbers.com/movie/Fast-and-Furious-(2009)#tab=summary,440910583.0
150,Faubourg 36,,https://www.the-numbers.com/movie/Faubourg-36#tab=summary,11610575.0
151,Gigantic,Comedy,https://www.the-numbers.com/movie/Gigantic-(2009)#tab=summary,102704.0
152,Lifelines,,https://www.the-numbers.com/movie/Lifelines#tab=summary,6793.0
153,Rolling,Drama,https://www.the-numbers.com/movie/Rolling#tab=summary,113132.0
154,Sugar,Drama,https://www.the-numbers.com/movie/Sugar#tab=summary,1143922.0
155,Thirst,Horror,https://www.the-numbers.com/movie/Thirst#tab=summary,13468951.0
156,Mary and Max,Drama,https://www.the-numbers.com/movie/Mary-and-Max-(Oz)#tab=summary,0.0
157,Anvil! The Story of Anvil,Documentary,https://www.the-numbers.com/movie/Anvil-The-Story-of-Anvil#tab=summary,1085868.0
158,Dragonball Evolution,Adventure,https://www.the-numbers.com/movie/Dragonball-Evolution#tab=summary,66854791.0
159,Hannah Montana: The Movie,Drama,https://www.the-numbers.com/movie/Hannah-Montana-The-Movie-(2009)#tab=summary,234252503.0
160,In a Dream,Documentary,https://www.the-numbers.com/movie/In-a-Dream#tab=summary,55270.0
161,Lymelife,Drama,https://www.the-numbers.com/movie/Lymelife#tab=summary,421307.0
162,Monster Beach Party,Comedy,https://www.the-numbers.com/movie/Monster-Beach-Party#tab=summary,113132.0
163,The Mysteries of Pittsburgh,Drama,https://www.the-numbers.com/movie/Mysteries-of-Pittsburgh-The#tab=summary,80283.0
164,Observe and Report,Comedy,https://www.the-numbers.com/movie/Observe-and-Report#tab=summary,42699524.0
165,Royal Kill,Action,https://www.the-numbers.com/movie/Royal-Kill-(2009)#tab=summary,0.0
166,Tera Mera Ki Rishta,Drama,https://www.the-numbers.com/movie/Tera-Mera-Ki-Rishta#tab=summary,271942.0
167,Winter of Frozen Dreams,Drama,https://www.the-numbers.com/movie/Winter-of-Frozen-Dreams#tab=summary,8321.0
168,Ip Man,Action,https://www.the-numbers.com/movie/Ip-Man#tab=summary,23894855.0
169,17 Again,Comedy,https://www.the-numbers.com/movie/17-Again#tab=summary,169169447.0
170,American Violet,Drama,https://www.the-numbers.com/movie/American-Violet#tab=summary,554434.0
171,Crank 2: High Voltage,Thriller/Suspense,https://www.the-numbers.com/movie/Crank-2-High-Voltage#tab=summary,55852604.0
172,Lemon Tree,,https://www.the-numbers.com/movie/Etz-Limon#tab=summary,7069672.0
