,id,title,budget,revenue,genres,production_companies,production_countries,release_date,runtime
28,745994,The Wayward Guide for the Untrained Eye,122123,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]","[{'id': 106602, 'logo_path': None, 'name': 'Tin Can Brothers', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-10-13,150
29,746104,Notice Me,224,0,"[{'id': 18, 'name': 'Drama'}]",[],[],,0
30,746123,yoink the yeezys,300,5,[],[],[],,5
31,746124,The pink indian against the invisible beast: Noel Nutels' battle,40000,0,"[{'id': 99, 'name': 'Documentary'}]","[{'id': 140637, 'logo_path': None, 'name': 'Banda Filmes', 'origin_country': ''}]","[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",2020-03-15,71
32,746370,"As Melhores Românticas das Novelas 6 Internacional - Hi-Res Audio, com Letras",216,1565,[],[],[],,0
33,746402,The Ranger,4000,0,[],[],[],,0
34,746414,"Lick My Decals Off, Baby",1400,0,"[{'id': 10402, 'name': 'Music'}]",[],[],1971-03-01,1
35,746418,Kanya,42500,0,"[{'id': 18, 'name': 'Drama'}]",[],"[{'iso_3166_1': 'IN', 'name': 'India'}, {'iso_3166_1': 'CZ', 'name': 'Czech Republic'}]",2020-10-29,15
36,746441,Harassed,50,0,[],[],[],,0
37,746464,Llámame Vampus,6000,0,"[{'id': 27, 'name': 'Horror'}]",[],[],2018-12-28,0
38,746507,Dude and The Man,500,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]","[{'id': 140700, 'logo_path': None, 'name': 'Daniels Production', 'origin_country': ''}]",[],2021-08-01,15
39,746558,Sardines out of a Can,10000,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]","[{'id': 140704, 'logo_path': None, 'name': 'Kuz Productions', 'origin_country': ''}]",[],2013-10-24,22
40,746579,Threshold,100,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]","[{'id': 140710, 'logo_path': None, 'name': 'Fax Machine', 'origin_country': ''}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",,9
41,746598,Headless into Night,11000,0,[],[],[],,14
42,746606,My Haunted House,15000000,0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]","[{'id': 22331, 'logo_path': None, 'name': 'Tigon', 'origin_country': ''}, {'id': 103957, 'logo_path': None, 'name': 'Liquid Media', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-09-07,0
43,746617,Boy on the Moon,106,0,"[{'id': 18, 'name': 'Drama'}]",[],[],,10
44,746651,The Eugene Oregon Project,2,2,[],[],[],2019-07-20,37
45,746666,The Path,2000,0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2020-09-01,10
46,746672,re:play,300,0,"[{'id': 99, 'name': 'Documentary'}]",[],[],,11
47,746692,Missed the Bus,3,0,"[{'id': 53, 'name': 'Thriller'}]",[],[],2020-09-08,3
48,746710,dvě místa,500,0,[],[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2020-03-11,10
49,746711,Tichý hlas,500,0,[],[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2020-09-29,9
50,746715,Za Horami,500,0,[],[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2020-09-29,8
51,746722,Pizzaman,5000,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 140743, 'logo_path': None, 'name': 'Moviejawn', 'origin_country': ''}]",[],,10
52,746795,Sentimento Mútuo,15,0,"[{'id': 18, 'name': 'Drama'}]","[{'id': 140764, 'logo_path': '/xULPccCh5q759tTH2hPsefUcB0U.png', 'name': 'Criticagem Studios', 'origin_country': 'BR'}]","[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",2019-08-28,0
53,746823,Collage,5000,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10751, 'name': 'Family'}]","[{'id': 140755, 'logo_path': None, 'name': 'Claqueta Rota', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'MX', 'name': 'Mexico'}]",2021-08-31,0
54,746847,Leap,14000,0,"[{'id': 18, 'name': 'Drama'}]","[{'id': 140761, 'logo_path': None, 'name': 'Grumpy Panda', 'origin_country': ''}]","[{'iso_3166_1': 'PT', 'name': 'Portugal'}]",2020-10-07,14
55,746855,Der Rand,8142,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]","[{'id': 140762, 'logo_path': None, 'name': 'Reblue Produktion', 'origin_country': ''}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2014-05-28,0
56,746913,I'm Not Bad Luck (The True Story of Kesz Valdez),65000,0,[],[],[],,20
57,746919,The Fabricated,1000,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 140779, 'logo_path': None, 'name': 'The Black Fig Tree', 'origin_country': ''}]","[{'iso_3166_1': 'IR', 'name': 'Iran'}]",2020-11-21,30
58,746926,Jack Fall,75000,0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",,50
59,746943,Cause of My Death,100000,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 140792, 'logo_path': None, 'name': 'AAA Pro Film', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",,80
60,746966,An Exchange,10500,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",[],[],,8
61,746974,"Happy Birthday, Papa",10000,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]","[{'id': 140801, 'logo_path': None, 'name': 'Partners in Cinema', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",,15
62,746978,Argumento,1000,0,"[{'id': 18, 'name': 'Drama'}]",[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",,11
63,747005,The August club,4300,0,"[{'id': 27, 'name': 'Horror'}]",[],[],,43
64,747035,for the devil who sleep on my bed,4,10,"[{'id': 99, 'name': 'Documentary'}]","[{'id': 140832, 'logo_path': None, 'name': 'hamood', 'origin_country': ''}]",[],2020-09-26,6
65,747070,A Brief State Of The Human Being,300,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",[],[],,15
