title,num_peaks,search_mean,search_volume,budget,genres,original_language,production_companies,production_countries,release_date,runtime,weekend_rev,weekend_rev_mean,num_theaters,success,day,month,holiday,year,log_budget,log_weekend_rev,log_weekend_rev_mean,views,likes,dislikes,dt_main,dt_trailers,dt_trailers_cat,views_proxy,like_score,like_score_proxy,log_views,log_like_score,log_search_mean,log_search_volume,log_views_proxy,log_like_score_proxy
Eddie the Eagle,2,7.6923076923076925,400,23000000,"['Comedy', 'Drama', 'History']",en,"['Studio Babelsberg', 'Twentieth Century Fox Film Corporation', 'Marv Films', 'Saville Productions']","['Germany', 'United Kingdom', 'United States of America']",2016-02-26,106.0,6084682,2980,2042.0,0.26455139130434785,Fri,Feb,Yes,2016,7.361727836017593,6.7842378858932735,3.4742162640762557,313072.05555555556,773.6666666666665,24.722222222222214,75,0,zero,29911.0,303377.7361120776,28984.801753531417,5.4956443047308285,5.481983706185541,0.8860566476931633,2.6020599913279625,4.475830932831453,10.274526894127584
Eden,5,38.132075471698116,2021,2300000,"['Thriller', 'Drama']",en,"['Ombra Films', 'Perlapartment Pictures', 'Gobsmack', 'H&H Creative Ventures']","['Malaysia', 'Spain', 'United States of America']",2015-10-22,97.0,18987,6329,3.0,0.008255217391304347,Thu,Oct,Yes,2015,6.361727836017593,4.278456350394209,3.8013350956745455,314114.0,579.0,92.0,389,210,pos,131027.0,271046.2086438152,113062.04619970193,5.497087293250621,5.433043336809065,1.581290443914515,3.305566313515304,5.11736079750903,11.635692028417727
Elysium,1,6.584905660377358,349,115000000,"['Science Fiction', 'Action', 'Drama', 'Thriller']",en,"['TriStar Pictures', 'Media Rights Capital', 'Sony Pictures Entertainment (SPE)', 'QED International', 'Alpha Core', 'Genre Films', 'Simon Kinberg Productions']",['United States of America'],2013-08-07,109.0,29807393,9077,3284.0,0.25919472173913044,Wed,Aug,No,2013,8.060697840353614,7.474323993636619,3.957942335445405,9618469.0,22262.0,1117.0,122,0,zero,664846.0,9158918.554172548,633081.040763078,6.983105949608872,6.961844197064977,0.8185495573583909,2.5428254269591797,5.822721060196992,13.358353719413579
End of Watch,2,14.69811320754717,779,7000000,"['Crime', 'Drama', 'Thriller']",en,"['Emmett/Furla Films', 'Exclusive Media Group', 'Hedge Fund Film Partners', 'Crave Films', 'Knightsbridge Entertainment', 'Le Grisbi Productions', '5150 Action']",['United States of America'],2012-09-20,109.0,13152683,4818,2730.0,1.8789547142857144,Thu,Sep,Yes,2012,6.845098040014258,7.1190143530722985,3.6828667956623247,5102455.0,9545.0,424.0,137,-77,neg,332716.0,4885438.155782927,318564.97341759456,6.7077791832386,6.688903519969912,1.1672615880717754,2.8915374576725643,5.522073686184811,12.67158173136097
Endless Love,1,6.811320754716981,361,20000000,"['Drama', 'Romance']",en,"['Universal Pictures', 'Fake Empire', 'Bluegrass Films']",['United States of America'],2014-02-12,103.0,4163623,7253,574.0,0.20818115,Wed,Feb,Yes,2014,7.301029995663981,6.619471398928803,3.8605176774617465,17516769.0,41308.0,1875.0,115,0,zero,1283893.0,16756193.26707269,1228146.540166269,7.243454002809518,7.22417536090016,0.8332313323048689,2.5575072019056577,6.108528831017958,14.021016712952637
Equals,4,35.301886792452834,1871,16000000,"['Drama', 'Romance', 'Science Fiction']",en,"['Scott Free Productions', 'Infinite Frameworks Studios', 'Freedom Media', 'A24', 'Route One Entertainment']",['United States of America'],2015-07-15,101.0,9206,4603,2.0,0.000575375,Wed,Jul,No,2015,7.204119982655924,3.9640709705579553,3.6630409748939736,766489.0,2694.0,193.0,234,-161,neg,153298.0,715248.135088327,143049.81364738484,5.8845059266090765,5.854456734115322,1.547797917899221,3.27207378750001,5.185536488875055,11.87094819576776
Escape from Planet Earth,4,10.679245283018869,566,40000000,"['Animation', 'Comedy', 'Adventure', 'Family', 'Science Fiction']",en,"['Rainmaker Entertainment', 'Mainframe Entertainment', 'Weinstein Company, The']","['Canada', 'United States of America']",2013-02-14,89.0,15891055,4833,3288.0,0.397276375,Thu,Feb,Yes,2013,7.602059991327962,7.201152730779994,3.6842167951388807,2051744.0,2413.0,364.0,53,175,pos,228752.0,1782808.1642059777,198767.94238386748,6.312123172071791,6.25110461423032,1.0285405615874823,2.7528164311882715,5.35936489983211,12.199893304587178
Fantastic Four,3,5.746987951807229,477,120000000,"['Action', 'Adventure', 'Science Fiction']",en,"['Twentieth Century Fox Film Corporation', 'Marv Films', 'Marvel Entertainment', 'Constantin Film.', 'Moving Picture Company (MPC)', 'TSG Entertainment', 'Genre Films']",['United States of America'],2015-08-05,100.0,56061504,15563,3602.0,0.4671792,Wed,Aug,No,2015,8.079181246047625,7.748664744693247,4.192093317452033,7765056.666666668,23595.33333333333,6667.333333333332,192,-84,neg,1346785.0,6054294.633725457,1050067.4429440014,6.890144629405317,6.782063552181762,0.7594402866640401,2.678518379040114,6.129298270729485,13.864364951446198
Fast Five,1,7.377358490566038,391,125000000,"['Action', 'Thriller', 'Crime']",en,"['Universal Pictures', 'Original Film', 'One Race Productions']",['United States of America'],2011-04-20,130.0,86198765,23655,3644.0,0.68959012,Wed,Apr,No,2011,8.096910013008056,7.935501043579617,4.373922952384584,1904830.0,2877.5,82.0,129,0,zero,94075.0,1852052.1456327082,91468.42794390944,6.27985622234425,6.2676532103382065,0.8679008877950778,2.5921767573958667,4.973474226991902,11.423749141926896
Faster,3,16.23076923076923,844,24000000,"['Crime', 'Drama', 'Action', 'Thriller']",en,"['Castle Rock Entertainment', 'TriStar Pictures', 'State Street Pictures', 'CBS Films']",['United States of America'],2010-11-23,98.0,13995,13995,1.0,0.000583125,Tue,Nov,Yes,2010,7.380211241711607,4.145972902802181,4.145972902802181,6902169.0,5992.0,331.0,51,77,pos,320217.0,6540850.331804523,303454.0983710264,6.8389855888107105,6.815634211688902,1.210339102990856,2.926342446625655,5.505444384454645,12.622985637091487
Fences,1,6.634615384615385,345,24000000,['Drama'],en,"['Paramount Pictures', 'Scott Rudin Productions', 'Bron Creative', 'MACRO']",['United States of America'],2016-12-16,139.0,129462,32366,4.0,0.00539425,Fri,Dec,Yes,2016,7.380211241711607,5.112142311953151,4.510089029792779,1842540.0,3667.166666666666,165.16666666666666,82,0,zero,303390.0,1763129.8434374186,290314.4372444986,6.265416924802846,6.246284296537516,0.821815751438475,2.537819095073274,5.4820012619602965,12.578719880930782
Fifty Shades Darker,2,6.226415094339623,330,55000000,"['Drama', 'Romance']",en,"['Universal Pictures', 'Perfect World Pictures (Beijing)']",['United States of America'],2017-02-08,118.0,46607250,12563,3710.0,0.8474045454545455,Wed,Feb,Yes,2017,7.740362689494244,7.668453478709052,4.0990933597731,16154858.666666664,61415.33333333334,7801.333333333332,150,-84,neg,4732869.0,14334062.556699572,4199432.611480858,7.208303162876394,7.156369295485144,0.7942380702770985,2.5185139398778875,6.675124483896584,15.250459981623225
Fifty Shades of Black,3,12.943396226415095,686,20000000,"['Romance', 'Comedy']",en,['Open Road Films (II)'],['United States of America'],2016-01-28,92.0,5900528,2844,2075.0,0.2950264,Thu,Jan,Yes,2016,7.301029995663981,6.770890875578844,3.4539295920577286,594863.0,2259.0,195.0,67,0,zero,49449.0,547593.935207824,45519.67848410758,5.774416956997656,5.738458629527034,1.1120482461059626,2.8363241157067516,4.694157513347289,10.725900005596612
